CNT,OECD,MATHAVE,READAVE,SCIEAVE,PARED,LMINS,MMINS,SMINS,OUTHOURS,OUT_homework,OUT_guided_homework,OUT_personal_tutor,OUT_commercial_company,OUT_parents,OUT_computer,TIMEINT,LHOURS,MHOURS,SHOURS,SCHHOURS,COMHOURS
Norway,OECD,489.373070349,503.936685996,494.523934741,13.2202304738,127.864276569,117.276781904,84.7863849765,5.08087921468,2.97673922322,0.5322236449,0.139564660691,0.0983781476739,0.637644046095,0.696329492104,61.2998292787,2.13107127614,1.95461303173,1.41310641628,5.49879072414,1.02166382131
Peru,Non-OECD,368.102547127,384.151223462,373.113448374,11.3277547639,103.909196355,108.434631317,83.0538525269,7.78624689312,3.33222866611,1.14316487158,0.551615575808,0.862634631317,0.871748135874,1.02485501243,0.0,1.73181993924,1.80724385529,1.38423087545,4.92329466998,0.0
Poland,OECD,517.501096818,518.186880549,525.816445438,12.4273930975,145.392880399,131.171044063,112.407206425,8.81224224007,4.36097243325,1.2665509008,0.715215975689,0.448448013892,0.796830909486,1.22422400695,55.8434990232,2.42321467332,2.18618406772,1.87345344042,6.48285218146,0.93072498372
Portugal,OECD,487.063181344,487.757687223,489.274731982,10.699056274,146.114994757,166.070604684,102.382209018,5.15781195386,2.36053827333,0.761796574624,0.645403704998,0.218105557497,0.486543166725,0.685424676686,53.7572527088,2.43524991262,2.76784341139,1.7063701503,6.90946347431,0.895954211814
Qatar,Non-OECD,376.448398635,387.504130932,383.642553387,13.891300383,86.2542403794,97.8909356192,92.7018055809,5.57477658216,2.10331935072,0.732354550429,0.791902243297,0.465165055626,0.727977384643,0.754057997447,0.0,1.43757067299,1.63151559365,1.54503009301,4.61411635966,0.0
Romania,Non-OECD,444.554242788,437.599488277,438.768056212,13.5375443437,107.563066614,100.52424123,94.4509262909,8.18466692944,4.58001576665,0.950729207726,0.479897516752,0.33622388648,0.616279069767,1.22152148207,0.0,1.7927177769,1.6754040205,1.57418210485,5.04230390225,0.0
Russian Federation,Non-OECD,482.169415663,475.149374067,486.295489965,13.7780539094,86.7902886637,142.773848213,165.498948576,12.6679411202,5.99082393424,1.48977251004,1.05582106672,0.890843051042,1.31810361308,1.92257694513,63.5756069585,1.44650481106,2.37956413688,2.7583158096,6.58438475754,1.05959344931
Serbia,Non-OECD,448.859130248,446.130195516,444.804110871,13.2516011956,91.1520068318,95.4997865073,90.4679760888,6.73996584116,2.75875320239,0.882792485056,0.786293766012,0.361016225448,0.737617421008,1.21349274125,51.2472245944,1.51920011386,1.59166310845,1.50779960148,4.6186628238,0.854120409906
Singapore,Non-OECD,573.468314297,542.215834174,551.493156643,12.2042913812,147.808330328,189.075910566,196.771547061,10.5439956726,5.90064911648,1.46826541652,1.30562567616,0.661557879553,0.578795528309,0.629102055536,53.6804904436,2.46347217214,3.1512651761,3.27952578435,8.89426313259,0.894674840726
Slovak Republic,OECD,481.644744006,462.76703277,471.193177266,13.9236853356,110.008550663,112.086361693,88.2973492946,4.63317657118,2.04082941428,0.541684480547,0.322573749466,0.289439931595,0.508123129543,0.930525865755,57.5369816161,1.83347584438,1.86810602822,1.47162248824,5.17320436084,0.958949693601
Slovenia,OECD,501.127422391,481.316283492,514.142554966,12.5831500592,97.7804094062,93.6161394011,97.6433767552,5.14989003553,2.21350025376,0.671798342074,0.413973946879,0.358484182033,0.560480460159,0.931652850617,55.0011842328,1.6296734901,1.56026899002,1.62738961259,4.81733209271,0.91668640388
Spain,OECD,484.319297802,487.939181598,496.445822824,12.5443250504,126.633073915,128.467862363,104.901671078,7.90336980998,4.00229131276,0.966578437957,0.880693714692,0.823687433335,0.560107454668,0.670011456564,52.0972227709,2.11055123191,2.14113103939,1.74836118464,6.00004345593,0.868287046182
Sweden,OECD,478.260635903,483.335005574,484.798965809,13.4040329392,110.634923986,112.858530405,115.427787162,4.53589527027,2.29434121622,0.703758445946,0.114653716216,0.116976351351,0.738597972973,0.567567567568,64.777027027,1.84391539977,1.88097550676,1.9237964527,5.64868735923,1.07961711712
Switzerland,OECD,530.93100395,509.040249713,515.297523464,13.5426574049,139.552676107,136.670496037,92.0867396919,4.79348116484,2.6395048535,0.543503428622,0.238489625078,0.184076943628,0.600943984326,0.586962329682,45.6308665064,2.32587793511,2.27784160062,1.53477899486,6.13849853059,0.760514441773
Thailand,Non-OECD,426.737491293,441.21993431,443.999935089,10.6920980926,88.087344838,135.859067514,178.281864971,9.9391462307,3.84090221011,1.36239782016,0.976536481986,1.21722676355,0.945806842265,1.59627611262,0.0,1.46812241397,2.26431779191,2.97136441619,6.70380462206,0.0
Tunisia,Non-OECD,387.82462962,404.07846725,398.046450919,11.5171318357,143.022010438,129.438393465,83.784660767,6.20580894032,1.76083503517,0.644202405264,1.06693896074,0.660766961652,0.971636033583,1.10142954391,0.0,2.38370017397,2.15730655775,1.39641101278,5.9374177445,0.0
Turkey,OECD,447.984414979,475.491466081,463.412909073,8.65305280528,99.1955445545,83.6641914191,65.0909653465,7.387169967,2.72215346535,0.970709570957,0.639438943894,0.899958745875,0.911922442244,1.24298679868,29.5297029703,1.65325907591,1.39440319032,1.08484942244,4.13251168867,0.492161716172
United Arab Emirates,Non-OECD,434.007164658,441.703736076,448.370295863,13.8334782609,151.216695652,165.628,158.308869565,9.65982608696,3.74217391304,1.13252173913,1.07713043478,0.740260869565,1.14365217391,1.82408695652,0.0,2.52027826087,2.76046666667,2.63848115942,7.91922608696,0.0
United Kingdom,OECD,493.934230896,499.32311513,514.129321055,13.3253021566,142.884825026,142.953076862,173.164151987,5.69247175922,3.27411327909,0.675329804882,0.237538510151,0.175369302473,0.581878505411,0.748242357216,0.0,2.38141375043,2.38255128104,2.88606919978,7.65003423125,0.0
United States of America,OECD,481.366786279,497.581718117,497.409811483,13.3947368421,159.630976296,157.691241462,156.402973082,6.88469264765,3.91462434713,0.9298915227,0.267778224186,0.20128565689,0.781639212535,0.789473684211,0.0,2.6605162716,2.62818735771,2.60671621803,7.89541984733,0.0
Uruguay,Non-OECD,409.291567938,411.348919041,415.84293549,11.1937911571,75.2754468485,86.5896519285,73.7189087488,5.70968955786,2.72455315146,0.729633113829,0.452869238006,0.456255879586,0.629162746943,0.717215428034,49.6346190028,1.25459078081,1.44316086548,1.22864847915,3.92640012543,0.827243650047
Vietnam,Non-OECD,511.338207501,508.218990432,528.423258987,9.65234926396,113.489413188,132.450090744,120.196208913,11.4067352289,3.75438596491,1.34462593265,0.980641258318,3.07723331317,1.11615245009,1.13369630974,0.0,1.8914902198,2.2075015124,2.00327014855,6.10226188076,0.0
